"id","parent.prodRgnName","shadeOrSize","sale","parent.largeImage"
"clinique3","Clinique Skinny Stick™","Lemon Slice",0,"http://ota.esteeonline.com/wishlist/images/clinique/clinique.png"
"clinique2","Happy in Bloom Perfume Spray","50ml",0,"http://ota.esteeonline.com/wishlist/images/clinique/clinique.png"
"clinique1","SDF SPF 20 DFF MOIST 1/2"," ",0,"http://ota.esteeonline.com/wishlist/images/clinique/clinique.png"
"clinique0","Sculptwear™ Lift and Contour Serum for Face and Neck","0.5 fl. oz.",0,"http://ota.esteeonline.com/wishlist/images/clinique/clinique.png"
